Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-09-15,Кенгарагс,Латгалес 287,1,33,5/12,Чеш. пр.,35400
2025-09-15,центр,Гертрудес 16,3,61,4/6,Дов. дом,167000
2025-09-15,центр,Чака 68,3,70,5/6,Дов. дом,139000
2025-09-15,Пурвциемс,Сеску 63,3,80,1/9,119-я,77000
2025-09-15,Чиекуркалнс,Чиекуркална 2 л. 50,2,32,1/3,Рекон.,70000
2025-09-15,Плявниеки,Дравниеку 4,1,50,3/12,104-я,49995
2025-09-15,Пурвциемс,Дзелзавас 108,4,77,6/7,Нов.,225000
2025-09-15,центр,Рупниецибас 21,3,94,3/7,Нов.,315000
2025-09-15,Пурвциемс,Илукстес 101,2,53,2/5,103-я,68500
2025-09-15,Кенгарагс,"Латгалес 268 k, 5",3,60,2/5,Лит. пр.,59500
2025-09-15,Зиепниеккалнс,Баускас 29/2,2,54,4/5,103-я,52000
2025-09-15,Иманта,Курземес пр. 56,3,55,5/5,Лит. пр.,48000
2025-09-15,р-он,ул. Латгалес Латгалес 84,2,50,4/6,Дов. дом,35000
2025-09-15,Агенскалнс,Кристапа 10,1,18,3/4,Дов. дом,28700
2025-09-15,Агенскалнс,Кристапа 2,3,83,2/2,Рекон.,240000
2025-09-15,Пурвциемс,Марциенас 2,4,90,4/9,119-я,115000
2025-09-15,центр,Бриана 15,2,92,1/3,Дов. дом,127000
2025-09-15,Межциемс,Кайвас 48a,4,86,2/6,Нов.,203700
2025-09-15,центр,Републикас пл. 3,3,106,2/6,Нов.,210000
2025-09-15,Ильгюциемс,Дзирциема 87,2,49,5/5,Лит. пр.,39000
2025-09-15,р-н,ул.Краста Ритупес 16A,1,21,2/2,Дов. дом,14999
2025-09-15,Саркандаугава,Саркандаугавас 26,2,39,4/5,Хрущ.,37000
2025-09-15,центр,Пурвиша 17,2,68,1/2,Дов. дом,39400
2025-09-15,Саркандаугава,Саркандаугавас 26k1,2,41,5/5,Хрущ.,47500
2025-09-15,Яунциемс,Яунциема Г. 77,2,44,3/3,Спец. пр.,38500
2025-09-15,Дзегужкалнс,Яунсаулес 5c,2,38,3/5,Лит. пр.,40000
2025-09-15,Саркандаугава,Твайка 16,2,34,3/5,Хрущ.,38000
2025-09-15,Чиекуркалнс,Русова 7,2,41,2/5,Нов.,97600
2025-09-15,Тейка,Иерикю 13,2,45,2/2,Спец. пр.,55000
2025-09-15,центр,Валдемара 72/2,3,60,1/5,Дов. дом,145000
2025-09-15,центр,Стабу 15,2,55,4/5,Сталинка,115000
2025-09-15,Торнякалнс,Торнякална 18,2,40,1/3,Дов. дом,40000
2025-09-15,Межапарк,Кишезера 9,3,77,1/7,Нов.,189000
2025-09-15,Биерини,Цодес 58,3,117,1/2,Ч. дом,188000
2025-09-15,Шампетерис-Плескодале,Ирлавас 5,4,300,1/3,Нов.,295000
2025-09-15,центр,Сколас 34,3,96,1/6,Спец. пр.,190000
2025-09-15,р-н,ул.Краста Латгалес 173,1,26,2/2,Дов. дом,18500
2025-09-15,Агенскалнс,Зеллю 13,3,57,2/3,Рекон.,158760
2025-09-15,Агенскалнс,Елгава 65,2,40,2/4,Рекон.,106000
2025-09-15,Кенгарагс,Латгалес 256,2,43,2/5,Хрущ.,52500
2025-09-15,Дзегужкалнс,Усмас 19,2,48,3/7,Нов.,115000
2025-09-15,центр,Мурниеку 2a,1,28,2/5,Дов. дом,45000
2025-09-15,Торнякалнс,Елгава 65,2,39,4/4,Рекон.,106000
2025-09-15,Дарзциемс,Зелтиню 54,1,41,4/5,М. сем.,33000
2025-09-15,Дзегужкалнс,Салдус 3b,3,63,8/9,Спец. пр.,140000
2025-09-15,Чиекуркалнс,Русова 9,3,77,1/7,Нов.,189000
2025-09-15,р-он,ул. Латгалес Миленбаха 2,3,85,3/5,Дов. дом,98000
2025-09-15,Золитуде,Анниньмуйжас 2,2,61,7/16,104-я,75000
2025-09-15,Межапарк,Инчукална 2,2,68,4/4,Рекон.,152000
2025-09-15,Плявниеки,Салнас 17,4,76,2/9,602-я,63000
2025-09-15,Даугавгрива,Бирзес 42,2,53,2/5,103-я,57000
2025-09-15,р-он,ул. Латгалес Калупес 3,1,41,2/4,Дов. дом,75000
2025-09-15,Югла,Бривибас 399,1,30,2/5,Хрущ.,38000
2025-09-15,Плявниеки,Деглава 122,1,43,4/9,119-я,62900
2025-09-15,Плявниеки,Рембатес 8,3,77,2/10,Нов.,148000
2025-09-15,Югла,Юглас 3 k-1,2,44,6/9,Спец. пр.,59000
2025-09-15,Пурвциемс,Стирну 49B,3,60,5/5,Лит. пр.,62000
2025-09-15,Вецмилгравис,Мелидас 3/k2,2,51,4/5,Лит. пр.,45000
2025-09-15,Кенгарагс,Латгалес 315,1,36,9/12,М. сем.,37000
2025-09-15,центр,Лачплеша 35,4,92,2/6,Рекон.,149000
2025-09-15,центр,Дзирнаву 92,3,131,4/5,Рекон.,398000
2025-09-15,центр,Гертрудес 67A,1,55,1/1,Дов. дом,100000
2025-09-15,Агенскалнс,Зеллю 5,4,80,1/4,Дов. дом,62000
2025-09-15,Тейка,Структору 4a,3,69,1/5,Спец. пр.,87000
