Date,Street,Rooms,m2,Floor,Serie,€/m2,Price
2025-01-09,Прушу 26,1,21,2/3,Рекон.,"2,143","45,000"
2025-01-09,Икшкилес 16,4,61,4/5,Лит. пр.,984,"60,000"
2025-01-09,Авиацияс 1,2,50,5/5,Лит. пр.,882,"44,100"
2025-01-09,Прушу 73,3,60,5/5,Лит. пр.,917,"55,000"
2025-01-09,Саласпилс 18,1,30,5/5,Лит. пр.,"1,000","30,000"
2025-01-09,Икшкилес 7,3,55,3/5,Лит. пр.,"1,186","65,250"
2025-01-09,Латгалес 256/4,2,46,1/5,Хрущ.,"1,083","49,800"
2025-01-09,Локомотивес 86,2,47,5/5,Лит. пр.,"1,181","55,500"
2025-01-09,Расас 4,2,51,5/5,Лит. пр.,892,"45,500"
2025-01-09,Латгалес 413,2,47,4/5,Лит. пр.,977,"45,900"
2025-01-09,Саласпилс 18,1,30,4/5,Лит. пр.,900,"27,000"
2025-01-09,Авиацияс 5,3,71,3/5,Лит. пр.,"1,070","76,000"
2025-01-09,Латгалес 252/5,2,48,3/5,Лит. пр.,"1,415","67,900"
2025-01-09,Прушу 4,2,46,4/5,Нов.,"2,370","109,000"
2025-01-09,Каниера 14,1,37,6/12,Спец. пр.,"1,000","37,000"
2025-01-09,Саласпилс 12,3,62,3/5,Лит. пр.,758,"47,000"
2025-01-09,Малтас 24,2,50,5/5,Лит. пр.,780,"39,000"
2025-01-09,Латгалес 258,2,45,3/5,Хрущ.,811,"36,500"
2025-01-09,Прушу 46,3,114,8/10,Нов.,"1,658","189,000"
2025-01-09,Икшкилес 11,2,39,2/5,Лит. пр.,936,"36,500"
2025-01-09,Латгалес 252/4,3,60,5/5,Хрущ.,850,"51,000"
2025-01-09,Саласпилс 6,2,38,5/5,Лит. пр.,"1,118","42,500"
2025-01-09,Прушу 9,2,47,4/5,Спец. пр.,798,"37,500"
2025-01-09,Латгалес 287,3,73,4/12,Чеш. пр.,541,"39,500"
2025-01-09,Крустпилс 73 K2,2,47,2/3,Хрущ.,606,"28,500"
2025-01-09,Аглонас 10,2,46,5/5,Лит. пр.,750,"34,500"
2025-01-09,Аглонас 11,2,46,4/4,Нов.,"2,391","110,000"
2025-01-09,Локомотивес 78,2,44,1/5,Хрущ.,864,"38,000"
